_uid_,commune,taux_artif_pct,population,variation_pop,m2_par_habitant,menages_par_ha
115,Noyers-sur-Jabron,0.07,524,14,1332.57,13.38
116,Entrevaux,0.06,801,-76,-96.24,2.66
117,Draix,0.06,112,-1,-7388,-13.84
118,La Condamine-Châtelard,0.06,154,-18,0,0
119,Piégut,0.06,208,39,92.49,95.9
120,Claret,0.06,288,26,205.38,2.36
121,Saint-Vincent-sur-Jabron,0.06,169,-30,-290.77,-17.61
122,Braux,0.06,128,6,14.17,352.94
123,Limans,0.06,389,24,512.75,8.94
124,Montsalier,0.06,159,32,153.63,32.55
125,Vaumeilh,0.06,267,8,407.13,9.21
126,Jausiers,0.06,1140,7,4341.86,7.86
127,Saint-Lions,0.06,39,-12,-340.83,-54.26
128,Ongles,0.06,361,-2,-3912.5,22.32
129,Oppedette,0.06,47,-6,-234.5,48.15
130,Méailles,0.06,118,7,652.43,28.47
131,Saint-Jurs,0.05,135,-4,-2502.5,0
132,Cruis,0.05,636,-9,-832.89,12.01
133,Senez,0.05,158,-8,-2679.38,5.6
134,Thoard,0.05,733,10,1385.2,39.63
135,Ubraye,0.05,99,11,120.91,37.59
136,Venterol,0.05,227,-24,-94,-31.03
137,Castellet-lès-Sausses,0.04,138,6,271.5,92.08
138,Clamensane,0.04,178,2,3120,0
139,Le Castellet,0.04,301,9,483.44,20.68
140,Soleilhas,0.04,86,-34,-87.03,-67.3
141,Turriers,0.04,344,19,214.84,-10.09
142,Gigors,0.04,59,1,3694,24.36
143,Valbelle,0.04,237,-34,-171.18,1.85
144,La Palud-sur-Verdon,0.03,352,12,571.17,17.53
145,Bellaffaire,0.03,151,2,266.5,112.57
146,La Robine-sur-Galabre,0.03,282,-30,-214.77,29.49
147,Le Vernet,0.03,125,-5,-1142.6,-8.08
148,Vergons,0.03,111,-3,-155.67,129.2
149,Estoublon,0.03,483,3,1101.67,37.3
150,Saint-Julien-d'Asse,0.03,221,25,140.56,17.07
151,Lardiers,0.03,134,22,183.36,39.71
152,Verdaches,0.03,61,-2,-1748,0
153,Valernes,0.03,241,-12,-578.42,3.37
154,Colmars,0.03,513,82,84.48,72.22
155,Chaudon-Norante,0.03,185,0,,141.13
156,Châteauneuf-Miravail,0.03,74,2,741,-34.99
157,Châteaufort,0.03,25,-3,-333.33,-50
158,Archail,0.03,14,-2,-1100,0
159,Angles,0.03,69,5,341,5.87
160,Barras,0.02,146,11,387.09,5
161,Rougon,0.02,121,17,67.47,78.47
162,Les Omergues,0.02,128,-4,-233.75,12.52
163,Nibles,0.02,49,6,271,-18.3
164,Moriez,0.02,238,13,270.08,34.18
165,Montjustin,0.02,59,3,720.33,4.63
166,Hautes-Duyes,0.02,48,6,629.33,8.12
167,Lambruisse,0.02,83,-15,-231,5.77
168,L'Hospitalet,0.02,93,4,250,-20
169,La Garde,0.02,124,47,34.36,142.41
170,Faucon-du-Caire,0.02,61,10,228.9,8.74
